PaymentID,MemberID,PaymentDate,Amount,PaymentStatus
1,1,2024-01-01,80.00,Paid
2,2,2024-02-05,50.00,Paid
3,3,2024-03-10,30.00,Paid
4,4,2024-04-01,120.00,Paid
5,5,2024-05-12,50.00,Paid
6,6,2024-06-01,30.00,Paid
7,7,2024-07-08,80.00,Paid
8,8,2024-08-15,50.00,Paid
9,9,2024-09-01,30.00,Paid
10,10,2024-10-01,120.00,Paid
11,11,2024-11-01,50.00,Paid
12,12,2024-12-01,30.00,Paid
13,13,2025-01-01,80.00,Paid
14,14,2025-02-01,50.00,Paid
15,15,2025-03-01,30.00,Paid
16,16,2025-03-15,120.00,Paid
17,17,2025-04-01,50.00,Paid
18,18,2025-04-10,30.00,Paid
19,19,2025-04-20,80.00,Paid
20,20,2025-05-01,50.00,Paid
21,21,2024-01-10,30.00,Paid
22,22,2024-02-15,80.00,Paid
23,23,2024-03-20,50.00,Paid
24,24,2024-04-25,120.00,Paid
25,25,2024-05-30,30.00,Paid
26,26,2024-06-05,80.00,Paid
27,27,2024-07-12,50.00,Paid
28,28,2024-08-01,30.00,Paid
29,29,2024-09-10,120.00,Paid
30,30,2024-10-05,80.00,Paid
31,31,2024-11-11,50.00,Paid
32,32,2024-12-18,30.00,Paid
33,33,2025-01-22,120.00,Paid
34,34,2025-02-28,80.00,Paid
35,35,2025-03-05,50.00,Paid
36,36,2025-03-19,30.00,Paid
37,37,2025-04-02,120.00,Paid
38,38,2025-04-16,80.00,Paid
39,39,2025-04-29,50.00,Paid
40,40,2025-05-08,30.00,Paid
41,41,2024-06-01,80.00,Paid
42,42,2024-07-07,50.00,Paid
43,43,2024-08-14,30.00,Paid
44,44,2024-09-20,120.00,Paid
45,45,2024-10-26,80.00,Paid
46,46,2024-11-02,50.00,Paid
47,47,2024-12-08,30.00,Paid
48,48,2025-01-15,120.00,Paid
49,49,2025-02-20,80.00,Paid
50,50,2025-03-03,50.00,Paid
51,1,2024-02-01,80.00,Paid
52,1,2024-03-01,80.00,Paid
53,1,2024-04-01,80.00,Paid
54,1,2024-05-01,80.00,Paid
55,1,2024-06-01,80.00,Paid
56,1,2024-07-01,80.00,Paid
57,1,2024-08-01,80.00,Paid
58,1,2024-09-01,80.00,Paid
59,1,2024-10-01,80.00,Paid
60,1,2024-11-01,80.00,Paid
61,1,2024-12-01,80.00,Paid
62,1,2025-01-01,80.00,Paid
63,1,2025-02-01,80.00,Paid
64,1,2025-03-01,80.00,Paid
65,1,2025-04-01,80.00,Paid
66,1,2025-05-10,80.00,Paid
67,2,2024-03-05,50.00,Paid
68,2,2024-04-05,50.00,Paid
69,2,2024-05-05,50.00,Paid
70,2,2024-06-05,50.00,Paid
71,2,2024-07-05,50.00,Paid
72,2,2024-08-05,50.00,Paid
73,2,2024-09-05,50.00,Paid
74,2,2024-10-05,50.00,Paid
75,2,2024-11-05,50.00,Paid
76,2,2024-12-05,50.00,Paid
77,2,2025-01-05,50.00,Paid
78,2,2025-02-05,50.00,Paid
79,2,2025-03-05,50.00,Paid
80,2,2025-04-05,50.00,Paid
81,2,2025-05-15,50.00,Paid
82,3,2024-04-10,30.00,Paid
83,3,2024-05-10,30.00,Paid
84,3,2024-06-10,30.00,Paid
85,3,2024-07-10,30.00,Paid
86,3,2024-08-10,30.00,Paid
87,3,2024-09-10,30.00,Paid
88,3,2024-10-10,30.00,Paid
89,3,2024-11-10,30.00,Paid
90,3,2024-12-10,30.00,Paid
91,3,2025-01-10,30.00,Paid
92,3,2025-02-10,30.00,Paid
93,3,2025-03-10,30.00,Paid
94,3,2025-04-01,30.00,Paid
95,4,2024-05-01,120.00,Paid
96,4,2024-06-01,120.00,Paid
97,4,2024-07-01,120.00,Paid
98,4,2024-08-01,120.00,Paid
99,4,2024-09-01,120.00,Paid
100,4,2024-10-01,120.00,Paid
101,4,2024-11-01,120.00,Paid
102,4,2024-12-01,120.00,Paid
103,4,2025-01-01,120.00,Paid
104,4,2025-02-01,120.00,Paid
105,4,2025-03-01,120.00,Paid
106,4,2025-04-01,120.00,Paid
107,4,2025-05-05,120.00,Paid
108,5,2024-06-12,50.00,Paid
109,5,2024-07-12,50.00,Paid
110,5,2024-08-12,50.00,Paid
111,5,2024-09-12,50.00,Paid
112,5,2024-10-12,50.00,Paid
113,5,2024-11-12,50.00,Paid
114,5,2024-12-12,50.00,Paid
115,5,2025-01-12,50.00,Paid
116,5,2025-02-12,50.00,Paid
117,5,2025-03-12,50.00,Paid
118,5,2025-04-12,50.00,Paid
119,5,2025-05-20,50.00,Paid
120,6,2024-07-01,30.00,Paid
121,6,2024-08-01,30.00,Paid
122,6,2024-09-01,30.00,Paid
123,6,2024-10-01,30.00,Paid
124,6,2024-11-01,30.00,Paid
125,6,2024-12-01,30.00,Paid
126,6,2025-01-01,30.00,Paid
127,6,2025-02-01,30.00,Paid
128,6,2025-03-01,30.00,Paid
129,6,2025-04-01,30.00,Paid
130,6,2025-05-25,30.00,Paid
131,7,2024-08-08,80.00,Paid
132,7,2024-09-08,80.00,Paid
133,7,2024-10-08,80.00,Paid
134,7,2024-11-08,80.00,Paid
135,7,2024-12-08,80.00,Paid
136,7,2025-01-08,80.00,Paid
137,7,2025-02-08,80.00,Paid
138,7,2025-03-08,80.00,Paid
139,7,2025-04-08,80.00,Paid
140,7,2025-05-01,80.00,Paid
141,8,2024-09-15,50.00,Paid
142,8,2024-10-15,50.00,Paid
143,8,2024-11-15,50.00,Paid
144,8,2024-12-15,50.00,Paid
145,8,2025-01-15,50.00,Paid
146,8,2025-02-15,50.00,Paid
147,8,2025-03-15,50.00,Paid
148,8,2025-04-10,50.00,Paid
